x,z,y
-137,-453,-310
-139,-453,-311
-136,-455,-309
-135,-454,-308
-138,-454,-312
-137,-453,-310
-139,-454,-310
-139,-452,-310
-136,-455,-312
-139,-456,-312
-139,-454,-311
-138,-453,-311
-136,-456,-312
-139,-454,-312
-135,-453,-313
-137,-456,-312
-139,-451,-312
-137,-454,-313
-136,-454,-314
-137,-454,-314
-137,-453,-315
-139,-455,-314
-136,-451,-314
-140,-456,-315
-136,-453,-315
-139,-452,-317
-137,-454,-320
-138,-456,-315
-137,-452,-317
-138,-452,-317
-138,-454,-321
-142,-452,-323
-139,-448,-326
-140,-447,-330
-143,-444,-336
-145,-440,-339
-147,-432,-344
-151,-430,-350
-151,-414,-363
-155,-403,-369
-153,-396,-368
-157,-372,-366
-158,-337,-357
-153,-321,-342
-151,-304,-282
-148,-344,-233
-149,-371,-232
-149,-405,-248
-147,-421,-260
-147,-427,-265
-144,-435,-274
-145,-443,-279
-143,-442,-284
-143,-441,-282
-145,-444,-288
-145,-444,-285
-144,-442,-284
-143,-439,-276
-146,-435,-276
-148,-432,-263
-153,-419,-253
-154,-409,-246
-160,-376,-228
-171,-323,-308
-168,-355,-349
-165,-372,-357
-157,-404,-359
-146,-429,-349
-144,-439,-343
-142,-443,-336
-142,-448,-333
-138,-449,-322
-140,-450,-323
-138,-451,-323
-135,-452,-316
-135,-452,-313
-133,-453,-314
-133,-451,-313
-137,-450,-310
-136,-451,-309
-138,-449,-310
-142,-450,-311
-140,-454,-308
-140,-452,-309
-141,-455,-310
-139,-451,-310
-144,-451,-309
-143,-452,-308
-141,-449,-308
-144,-454,-307
-145,-452,-307
-146,-452,-310
-142,-452,-307
-144,-452,-305
-145,-453,-306
-147,-451,-309
-153,-449,-306
-155,-449,-308
-165,-446,-303
-169,-446,-307
-177,-434,-303
-196,-419,-300
-202,-407,-298
-209,-381,-294
-209,-348,-287
-197,-327,-281
-115,-291,-285
-97,-297,-292
-72,-319,-303
-58,-341,-310
-55,-348,-316
-60,-357,-317
-57,-360,-321
-56,-357,-320
-63,-341,-316
-100,-290,-295
-164,-282,-274
-194,-290,-273
-229,-331,-278
-229,-377,-285
-224,-398,-293
-204,-425,-300
-178,-442,-305
-164,-449,-306
-157,-450,-302
-148,-451,-307
-144,-452,-307
-144,-452,-308
-143,-454,-309
-141,-454,-308
-145,-453,-310
-145,-452,-310
-143,-450,-318
-140,-453,-310
-138,-456,-311
-139,-452,-309
-141,-453,-313
-139,-454,-310
-139,-452,-310
