x,z,y
-359,-425,-158
-358,-425,-160
-359,-428,-156
-360,-425,-157
-358,-423,-158
-359,-425,-153
-359,-425,-155
-358,-425,-159
-360,-423,-158
-359,-426,-157
-358,-424,-153
-360,-423,-156
-360,-424,-157
-360,-423,-155
-361,-425,-155
-356,-426,-157
-361,-425,-160
-359,-424,-157
-358,-426,-157
-360,-426,-155
-357,-427,-156
-361,-425,-157
-360,-428,-155
-357,-424,-158
-359,-425,-156
-358,-424,-157
-360,-424,-157
-357,-425,-156
-360,-426,-159
-360,-424,-157
-360,-425,-156
-360,-423,-156
-358,-424,-156
-361,-425,-157
-361,-424,-157
-359,-426,-158
-358,-425,-155
-359,-423,-158
-357,-426,-157
-360,-423,-156
-358,-428,-156
-360,-424,-158
-357,-426,-157
-359,-425,-153
-357,-425,-155
-358,-426,-155
-362,-428,-156
-357,-424,-153
-360,-425,-159
-359,-424,-157
-358,-423,-158
-356,-425,-155
-357,-425,-156
-361,-427,-157
-359,-424,-157
-360,-424,-156
-359,-425,-158
-360,-424,-154
-359,-425,-157
-357,-423,-156
-358,-427,-154
-359,-426,-154
-359,-424,-155
-360,-423,-156
-360,-426,-158
-359,-426,-156
-361,-424,-158
-360,-426,-157
-358,-424,-156
-359,-425,-158
-361,-424,-155
-359,-426,-155
-359,-425,-157
-358,-424,-158
-359,-427,-155
-357,-423,-156
-360,-423,-156
-359,-425,-158
-358,-422,-156
-357,-422,-158
-360,-425,-157
-359,-423,-157
-358,-428,-157
-359,-424,-157
-357,-424,-158
-361,-424,-157
-358,-425,-160
-356,-424,-158
-357,-423,-160
-356,-423,-157
-359,-424,-160
-359,-424,-158
-359,-425,-159
-358,-421,-160
-356,-421,-160
-356,-422,-162
-357,-420,-162
-354,-423,-160
-354,-423,-160
-355,-421,-164
-355,-420,-161
-355,-421,-160
-353,-421,-159
-357,-420,-162
-355,-420,-163
-351,-416,-161
-351,-417,-159
-352,-417,-161
-351,-416,-162
-352,-415,-165
-345,-414,-163
-345,-416,-163
-347,-412,-166
-347,-410,-165
-342,-413,-160
-341,-408,-166
-334,-412,-166
-331,-408,-164
-331,-407,-162
-321,-408,-161
-317,-410,-158
-308,-411,-157
-300,-411,-152
-286,-415,-148
-284,-422,-143
-266,-431,-143
-259,-444,-149
-251,-450,-153
-246,-453,-174
-245,-441,-187
-241,-435,-197
-246,-412,-199
-244,-387,-198
-245,-376,-192
-240,-356,-181
-232,-340,-159
-229,-335,-134
-220,-339,-123
-217,-354,-101
-217,-373,-87
-241,-400,-93
-261,-412,-113
-269,-413,-122
